id,patron_id,library_id,date_checkout,date_returned
xSYmAQAAIAAJ,2faeaf9472344f4f89f9dbe7233902fb,zzw-222@5xc-knn-c5z,2018-12-24,2019-01-16
a-QDAAAAMBAJ,c3f80afbc4dd7432eb6e21be92b21558,226-222@5xc-jxj-7yv,2018-01-22,2018-02-02
WBZ4DAAAQBAJ,5ea1c92f9961e5cabf12d7ac38531149,222-222@5xc-kkw-bzf,2018-02-15,2018-02-26
lMkmAQAAMAAJ,71f86bd14389f1641583fb5f224f9886,222-222@5xc-jxp-rp9,2018-11-15,2113-09-03
pEWgAAAAMAAJ,b81e2c8f26f9fa45891e5211ea44728d,zzw-224@5xc-jwv-2rk,2018-06-25,2018-07-05
8MzgAQAACAAJ,b9e3ca68a68468de3285d4d12a80f8a9,227-222@5xc-jww-btv,1807-07-25,2018-08-27
Xy5RAAAAYAAJ,f9dea37f4053ade7b6405521b6088a81,22c-222@5xc-jwj-pvz,2018-03-07,2018-03-22
9HOEMS9ffGgC,733c7d055041dc101405ba9d10f7a63c,22d-222@5xc-kcy-8sq,1817-06-15,2018-10-31
gM80AQAAMAAJ,5badc7b5021e3c11ec5482eeaf356471,222-222@5xc-jxp-rp9,2018-07-04,2018-08-26
WBZ4DAAAQBAJ,0548c576fa6fd6afd69750d4f4e9c805,227-222@5xc-jww-btv,2018-09-21,2018-10-18
2k0jAAAAMAAJ,5754383ac1a2b366f3c8359b94812f19,226-222@5xc-jxj-7yv,2018-09-28,2018|10|15%
oFWsXm1zZCcC,bc840f93aa631f7357e14fdef522f548,22d-222@5xc-kcy-8sq,2018-12-13,2018-12-20
IRagAAAAMAAJ,216157566f2c159101525df3544b3058,zzw-222@5xc-jv4-789,2018-01-10,2018-02-05
g9rXVe6jmiQC,7db3a9a7df3767acb5fdf0810dca040a,227-222@5xc-jww-btv,2018-08-02,2018-08-13
HY5qgKfwmsEC,a8830d61d0514b7a59faaa7fd2f1e257,22c-222@5xc-jwj-pvz,2018-07-06,2018-07-21
iAzrAAAAIAAJ,ceb72a116d42d8d441e234f80ecf8bb9,223-222@5xc-jxr-tgk,2018-07-07,2018-07-12
p2C0y3hbe5EC,b3ed50fc415f5c3ff5ba900f0cf8300b,225-222@5xc-jtz-hkf,2018-07-05,2018-07-27
ygoFAAAAQAAJ,7a1f47edd69d69da4c5f95a6a95f75ee,223-222@5xc-jxr-tgk,2018-02-19,2018-03-06
ygoFAAAAQAAJ,e39dbe7004262b9876435e9dae6d72a5,225-222@5xc-jtz-hkf,2018-05-24,2018-06-12
MOewp6bCFfgC,80e19da846928a347321219065483f4c,222-222@5xc-kkw-bzf,2018-12-05,2112-11-28
h9QcAQAAMAAJ,3ecace253d69f07f55ee066b1b042aee,224-222@5xc-jw2-t9z,2118-04-23,2018-06-18
uW1BAQAAMAAJ,ae64da6df9dfaf9c640c2cfd201cb910,225-222@5xc-jtz-hkf,2018-07-22,2018-08-12
moG9m2rGrTUC,708464383124bdf35cb6925a51d331c4,zzw-223@5xc-jv7-ct9,2018-12-18,2019-05-12
1IhDAQAAIAAJ,eaf9c2618bdfa9ccf3d7c96674e3f2a2,22c-222@5xc-jwj-pvz,2018-07-25,2018-08-15
1IhDAQAAIAAJ,2b230383042026122c5906e89e14295f,226-222@5xc-jxj-7yv,2018-12-04,2018-12-17
yai7kyQfq1gC,3aa462b387906d1607fa13012d9b83ad,zzw-223@5xc-jv7-ct9,2018-05-19,2113-08-29
72iwAAAAIAAJ,7efd1ce394eb857cf9b823d87305d6c6,zzw-222@5xc-knn-c5z,2018-08-02,2018-08-07
WBZ4DAAAQBAJ,f7ab6236ee75e9bf2cd7433af45ed604,222-222@5xc-jvf-skf,1800-12-29,2018-12-27
tCFxM82-w10C,592c0db8eab198ee38694a54e16702ea,224-222@5xc-jw2-t9z,2018-10-29,2018-11-22
_fjaJ6XXAAQC,f3fdc62b1b65104760075978ad642934,222-222@5xc-kkw-bzf,2018-10-06,1808-08-19
59sDAAAAMBAJ,3722cc0426107d39abe2f7c633cb3cbd,22d-222@5xc-kcy-8sq,1819-04-05,2018-06-03
-xFj0vTLbRIC,24032e18ff12062ba68766387df2ee99,zzw-222@5xc-knn-c5z,2018-04-21,2018-05-09
OK_0vJSsRKkC,8157486477c82af241ed11766e4cc7ef,226-222@5xc-kc4-fpv,2018-11-11,2018-11-22
TUAyAQAAMAAJ,ba63642092840d5acedfc46f81ac81eb,23v-222@5xc-jv7-v4v,2018-12-12,2018-12-28
eBcFQ3DUcQEC,55ed00061e3e9092b8d390ff157b1166,223-222@5xc-jxr-tgk,2018-06-29,2018-07-09
HWQSAAAAYAAJ,6f5c95125f9acc9db47f32fff9301610,222-222@5xc-kkw-bzf,2018-03-25,2018-04-11
sxF-zkQY-NsC,ae8563fdcac2dd39c4686f5de1f67db0,224-222@5xc-jw2-t9z,2018-08-09,2105-06-22
uW1BAQAAMAAJ,e05b94d435d0018426b6b51904f12646,228-222@5xc-jtz-hwk,2018-01-23,2018-02-11
sxF-zkQY-NsC,6d0f2679a30077da8aab910698e40ab7,22d-222@5xc-kcy-8sq,2018-09-06,2018-09-11
NtxlrgEACAAJ,a0aa42debb97391fe368e7481784bdb2,222-222@5xc-jvf-skf,2018-06-03,2018-06-22
nQikAgAAQBAJ,2225a4b284a9b69745311efb4899dd0b,22d-222@5xc-kcy-8sq,2018-10-26,2018-11-19
VRlFAQAAMAAJ,b24111844cbbb00d7c74cfdc229acaea,224-222@5xc-jw2-t9z,2018-07-05,2018-07-30
WBZ4DAAAQBAJ,c4077c9ce5d339ca03d05fb99ae04da8,zzw-224@5xc-jwv-2rk,2018-12-21,2019-01-07
8xpKAAAAMAAJ,881744ff6f5151b5e341d4a69d56c62b,225-222@5xc-jtz-hkf,2018-01-04,2018-01-11
bz87AQAAMAAJ,73b88c6a7593c8d1bbd142ba0602a8a7,228-222@5xc-jtz-hwk,2018-05-29,2018-06-09
teQaAQAAMAAJ,23d5b5ceeda841b8f5275eba50f422cc,223-222@5xc-jxr-tgk,2112-01-11,2018-07-17
h9QcAQAAMAAJ,9c128824440ad1abfe60ebdae3dde022,224-222@5xc-jw2-t9z,2018-09-27,2018-10-10
nndUAAAAMAAJ,006ec5b8f21fba3c5da132ee0f385a69,225-222@5xc-jtz-hkf,2018-12-08,2019-03-31
nndUAAAAMAAJ,8415b3af67d702322311d1c0051630b9,zzw-223@5xc-jv7-ct9,2106-02-17,2018-03-17
QT21QytTCiUC,0b87017ff94a5ef58562924295dd3cc8,223-222@5xc-jxr-tgk,2018-10-15,2018-11-02
qPTH2LBNcJEC,6a976887b5b5c49aa84c4980d50f5341,227-222@5xc-jww-btv,2018-09-01,2018-09-22
5JJMAQAAMAAJ,c28c6b9cbb2725343c4deb73e7f4912e,zzw-223@5xc-jv7-ct9,2018-07-06,2018-07-20
dXbSBQAAQBAJ,05f1f6892298da1462dd51311c1ed5ed,226-222@5xc-kc4-fpv,2018-10-28,2018-11-22
DT2UBgAAQBAJ,c54050e4bc6aaab78b32c970ae7d52d9,224-222@5xc-jw2-t9z,2018-06-14,2018-07-01
1fQuLiaGY4YC,4d016f884164ce20ddfb02b1fae1cfa0,222-222@5xc-jv5-nt9,2018-01-22,2018-02-17
rb8fRXEk0z8C,fe9c2e7610216719ffe58f471c98fa2b,226-222@5xc-jxj-7yv,2018-09-15,2018-10-05
_fjaJ6XXAAQC,870c5702c4d14f67efb740bafd3588f2,zzw-223@5xc-jv7-ct9,2018-09-04,2018-10-01
hCVACwAAQBAJ,ddf5c0f511ccc43c612e2480f10f1e0f,zzw-222@5xc-knn-c5z,2018-11-29,2018-12-24
Oxw2AQAAMAAJ,e4a418c8c365ba88ed6706ddd320c1fa,222-222@5xc-jxp-rp9,1801-09-23,2018-04-18
rcrCAgAAQBAJ,08bbdad1a6e325bc0250088f190c24e3,227-222@5xc-jww-btv,2018-07-27,2018-08-17
79QDAAAAMBAJ,5f54ea034526e63bfdd23e6d3928eaba,22c-222@5xc-jwj-pvz,1804-07-22,2018-12-13
VL0QGySiaDMC,57125efdd2e7e42737c802b29587d5df,zzw-224@5xc-jwv-2rk,2018-06-07,2117-10-10
FRgQAAAAIAAJ,6aec7ab2ea0d67161dac39e5dcabd857,zzw-222@5xc-knn-c5z,2018-06-25,2018-07-19
wckyAQAAMAAJ,c36aff4cf1db7b86dc352649dc2b579c,23v-222@5xc-jv7-v4v,2018-02-12,2018-02-20
p2C0y3hbe5EC,0fc870895fd4526d592457545ff830d0,223-222@5xc-jxr-tgk,2115-06-24,2018-12-17
hVFwAAAAQBAJ,466d78dd0a6e1beffc1ac2eb19fc17b4,226-222@5xc-jxj-7yv,2018-01-17,2018-01-31
a-QDAAAAMBAJ,7ed816a286b1a05a7be625d1dbcb22b3,222-222@5xc-jv5-nt9,2018-09-13,2018-10-08
_fjaJ6XXAAQC,e89955eecc1c762fbf0cb4ce63b9a6b1,zzw-224@5xc-jwv-2rk,2018-03-01,2018-03-13
3QLDDgAAQBAJ,8aa6da037c3571ba721e0b938365d02f,226-222@5xc-jxj-7yv,2018-07-28,2018/08/03
W58mAQAAIAAJ,0431cfd80cbf80a1a6897d7c208cbc45,222-222@5xc-jvf-skf,2018-03-18,2018-02-25
VRlFAQAAMAAJ,96b633a5acb79f8842ea3bd78b3b072a,227-222@5xc-jww-btv,2018-01-06,2018-01-26
sBmIDwAAQBAJ,8e1efee96697bcfd9cb7be688c3b3566,zzw-222@5xc-knn-c5z,2018-02-09,2018-03-03
FpwRAAAAYAAJ,1a2b2bb36cf27ae0be966fc55e25b84e,228-222@5xc-jtz-hwk,2018-02-15,2018-02-21
lMkmAQAAMAAJ,4b18083194836ea1726753f554ae0181,227-222@5xc-jww-btv,2018-05-28,2018-06-20
ScdF1-vHvHwC,54446f1f00bca8227337aa79104606f5,227-222@5xc-jww-btv,2018-11-03,2018-11-23
adsDAAAAMBAJ,69e833f8e87dc94fb3688c0f4b6e51b1,228-222@5xc-jtz-hwk,2018-12-05,2018-12-10
oFWsXm1zZCcC,50b757c83da51ce641c32d6334918dbc,222-222@5xc-jv5-nt9,1813-07-18,2018-10-27
1Gc_SPKCZY8C,9a0a591bc34d0778dc041cd519a125ea,zzw-222@5xc-jv4-789,2018-12-01,
t1e3BWziAc8C,35b636ded556031bf38f2a0c03f5f589,222-222@5xc-jvf-skf,2018-09-13,2018-09-20
DlN0CAAAQBAJ,e595adcc9f90333fc8eb75b67ddb5abd,224-222@5xc-jw2-t9z,2018/12/31 ,2019-01-05
BHBVUs2fZC0C,92ae9803bfc7d6af039d9bf5c647b90c,226-222@5xc-kc4-fpv,2018-10-20,2018-10-02
PSmsBwAAQBAJ,0a1ef2a67914bf221a7b6233e9f373cc,222-222@5xc-jvf-skf,2018-04-05, 20180612
gTygAAAAMAAJ,caaa2a0b9275a99a2145c30059b9787e,223-222@5xc-jxr-tgk,2018-01-13,2018-01-03
hVFwAAAAQBAJ,461e2e6ed37fd8aef77f2e046d609452,23v-222@5xc-jv7-v4v,2018-05-11,2018-05-20
tvo3LZ-Qms0C,ed8a7fde3f13a5f5a625665e2562490d,222-222@5xc-jxp-rp9,2018-11-01,2019-02-15
vYOofF63aBoC,c5db6df5bd2651431c6ea52f6bde4587,zzw-224@5xc-jwv-2rk,2018-12-15,2018-12-31
tCFxM82-w10C,242554ebeefe686dbfd6c732fdd2a4ed,226-222@5xc-kc4-fpv,2018-07-15,2018-07-29
Ox4DAAAAQAAJ,ab963cd11db2b45d7921dcc3839db403,222-222@5xc-jv5-nt9,,2018-07-09
ZAtjZwZN5pcC,83b89f7e6d2c7215ce468c2f02fa795f,zzw-224@5xc-jwv-2rk,2018-03-09,
K9kDAAAAMBAJ,89ea26a512070ce661a3fb1b2ecfef3f,222-222@5xc-kkw-bzf,2018-08-17,2018-09-10
t1e3BWziAc8C,e1e48da13224827a21ec48f6955b3f7f,223-222@5xc-jxr-tgk,2018-09-25,2104-03-09
8XFFO-MK13QC,438c2f7cf148c5a63753c2cc1f15e9fd,222-222@5xc-jvf-skf,2018-02-04,2018-01-16
OQ6sDwAAQBAJ,f6cd9d25e9c30e283e451b018d27d660,223-222@5xc-jxr-tgk,2018-06-30,
TQpFnkku2poC,84b3e380574cfcc21ba7d11ffe896f1f,228-222@5xc-jtz-hwk,2018-04-25,2018-05-08
tAyspwAACAAJ,f94b09a093db5478467f695a606b8a18,22d-222@5xc-kcy-8sq,2018-10-15,2019-03-13
DhbHyWW4BZcC,a5f9bfdf9462839b6a5b44994e7bb5b5,223-222@5xc-jxr-tgk,2018-01-18,2018-02-14
hCVACwAAQBAJ,1f69c589b4a35094102a63eec775d176,226-222@5xc-kc4-fpv, 20180629,2018-07-23
IhgDAAAAYAAJ,c38aca7e5d507c011c4b4973af7a7ddb,226-222@5xc-jxj-7yv,2018-01-23,2112-11-14
a-4qAQAAMAAJ,4e03ecad4300a401ff891894e1c11a83,23v-222@5xc-jv7-v4v,2018-01-05,2018-03-02
sxF-zkQY-NsC,4282d18a157cc301152a12c634531869,222-222@5xc-kkw-bzf,2018-05-10,2018-05-01
ih402g7bNXYC,db7335a0d6db6fbed77b634bdb697e53,23v-222@5xc-jv7-v4v,2018-08-01,2019-01-27
tAyspwAACAAJ,847c7d77f102c2fb4583cc90045ff348,226-222@5xc-jxj-7yv,2018-05-19,2018-05-29
HY5qgKfwmsEC,d4ba20526ba74ec18c9a158d4d531773,zzw-223@5xc-jv7-ct9,2018-03-28,2018-04-17
CMlXAAAAMAAJ,886735c8a578dee0c0edb77f0279f20d,22c-222@5xc-jwj-pvz,1800-08-09,2018-06-24
ih402g7bNXYC,92f26ff21e1a4ed143c5ba853e327b79,22c-222@5xc-jwj-pvz,2018-07-07,2018-08-01
bRY9AAAAYAAJ,997c6d7165999aced2598d39df4b2243,228-222@5xc-jtz-hwk,2018-04-24,2018-09-12
2k0jAAAAMAAJ,a96c4bfb6aa3e782bc646bb5de9b75c4,23v-222@5xc-jv7-v4v,2018-11-23,2018-11-28
iGoXAQAAMAAJ,c137b6053ebc70edc91ee520e29d022d,zzw-222@5xc-knn-c5z,2018-08-19,2018-09-01
P2FYAAAAMAAJ,e42bab10316d61a6008abdba9ee90d52,222-222@5xc-jv5-nt9,2018-03-19,2018-03-29
uFy7zQEACAAJ,336e77fc019d6c48831cce1f53e3cd4e,226-222@5xc-jxj-7yv,2018-08-15,2018-08-20
hqafM0xZjqIC,a3d2fc3c39930a63acc0e5fcd1de8c62,23v-222@5xc-jv7-v4v,2018-12-01,2018-12-25
B7JZ3D7WU80C,b3ca9535ff00bce99776213b438b3e2b,222-222@5xc-jv5-nt9,2018-05-17,2018-06-01
oFWsXm1zZCcC,667fa94b9861023ea21b09e46e114b01,zzw-222@5xc-jv4-789,2018-12-17,2019-01-13
1wOe6bVPZFIC,78ba51784818e8bad673713538dd5db9,zzw-222@5xc-jv4-789,1805-02-11,2018-10-11
rb8fRXEk0z8C,10bfe3289b7f6b80ae53a153e3e0a440,227-222@5xc-jww-btv,%2018 06 04,2018-06-09
hqafM0xZjqIC,58dfc5861569460edcd9b7112864b7bc,226-222@5xc-kc4-fpv,2018-07-06,2018-07-28
_L9IAAAAYAAJ,f7282cc8e78dbfb62318b3afa086b719,222-222@5xc-kkw-bzf,2018-01-25,2018-02-10
VzhUAAAAYAAJ,da3942304984a9464f8559c67e9d96fe,224-222@5xc-jw2-t9z,2018-04-30,2018-05-18
73_nAR1_4OAC,54b0533a58fa2fead43f132c8a5fc60d,227-222@5xc-jww-btv,2018-12-29,2019-01-21
lkObok4vI7sC,3ef2310ad384a253c85836b08a12471a,228-222@5xc-jtz-hwk,2018-09-17,2018-10-12
T7tYAAAAYAAJ,f79408d8cc4aca362ece7ef05ad78d31,226-222@5xc-jxj-7yv,2018-04-30,2018-05-25
_L9IAAAAYAAJ,4e3b3b31cdec827e435a08673051b305,228-222@5xc-jtz-hwk,2018-02-02,2118-11-02
59sDAAAAMBAJ,e425ab0b2c59a923f688066aae27e9cb,222-222@5xc-jvf-skf,1810-01-07,2018-01-21
4zqgXdITQuAC,5474aabd88b9e9a5bc87b052098595bc,22d-222@5xc-kcy-8sq,2018-04-05,2018-04-20
NbcpG4_092AC,a83bf84cffced830ed08f1efed83969f,225-222@5xc-jtz-hkf,2119-08-18,2018-04-17
E741AQAAMAAJ,6f7373634348e8fa0b6c23b60c9b1e17,227-222@5xc-jww-btv,2018-07-02,2018-07-17
1Mc0AQAAMAAJ,b70c21f000784d523be2e8a46d094b94,222-222@5xc-jvf-skf,2018-03-26,2018-04-17
jPs8AAAAYAAJ,6c083e200d2c1eee236849b9772e063c,zzw-223@5xc-jv7-ct9,2102-09-27,2018-08-16
T7tYAAAAYAAJ,22e67b5f35e47a507191b52b2da4d837,222-222@5xc-jxp-rp9,2018-03-31,2018-04-25
9q1LAQAAIAAJ,1bc255b9da1f2d7a1eccfcd39ba466d4,zzw-223@5xc-jv7-ct9,2018-06-03,2018-11-03
ZjZOAAAAMAAJ,fb7c116c800c5b2d9141287f179302ab,22d-222@5xc-kcy-8sq,2018-05-02,2018-05-07
BHBVUs2fZC0C,f28757973ccf8bfaf45d226a738e6b41,22c-222@5xc-jwj-pvz,2018-01-30,2018-02-18
SSJMAAAAMAAJ,e1e2eb3ff6aff1b00b03ad9c3372b2f0,zzw-223@5xc-jv7-ct9,2018-05-11,2018-05-18
krW85fjSjR8C,b515a063ed6c7d9724e4bf94b014b2ae,zzw-223@5xc-jv7-ct9,2018-03-05,2018-03-28
-xFj0vTLbRIC,b0ff7b25ecc4949aed61c0d0f914dfbd,226-222@5xc-jxj-7yv,2018-04-15,2018-05-02
ala3BgAAQBAJ,7abe8289a6f20d242a29ea262830b744,222-222@5xc-jv5-nt9,2018 03 31%,2018-04-23
4zqgXdITQuAC,0d3ed29be9cc1ce8b762305b8eaa22ba,223-222@5xc-jxr-tgk,2018-10-13,2018-10-25
TAQaaPpkmokC,cdfd3a8fcf23f16eb1fd5239bb294ca1,zzw-223@5xc-jv7-ct9,2018-07-01,2018-06-04
Cr74DwAAQBAJ,221fc93ef81d52013dba2ecb08a060ff,226-222@5xc-kc4-fpv,2018-12-26,2019-01-09
hVFwAAAAQBAJ,7b1c0e458e4c6c0e5ace0085d0bdb6f0,222-222@5xc-kkw-bzf,2100-06-19,2018-08-12
hVFwAAAAQBAJ,0f703ebd73b83ce69edd88c6018768d9,222-222@5xc-jvf-skf,1808-11-07,2018-08-20
QlVB6ARdT7kC,3ec26f569f3bd99f9a8a26a83595b8a3,223-222@5xc-jxr-tgk,2018-06-11,2018-06-23
dOmrLm5Jq4AC,1438f78d46e00ed3373262b8f4cb3bb3,222-222@5xc-kkw-bzf,2018-10-16,2018-11-03
BTCUDwAAQBAJ,5dae4cb6c3e1abf9f61529d6ed0a9088,zzw-224@5xc-jwv-2rk,2018-04-14,1820-09-26
L59IEDpeVDEC,39ee16090d9041ed07ac365a1063abd4,222-222@5xc-jv5-nt9,2018-03-09,2018-03-27
eLgobuBJQXYC,f72382381c926fdd2d5e00bf91a029d2,22c-222@5xc-jwj-pvz,2018-12-10,2018-12-26
uFy7zQEACAAJ,ac53575315578382fe4dc4f7bdcd9273,226-222@5xc-jxj-7yv,2018-01-14,2018-02-02
Ci1HAQAAMAAJ,9fdb466af04b9b97bf7ece79be7f7873,227-222@5xc-jww-btv,2018-08-20,2018-09-09
E741AQAAMAAJ,36c1c0cf4adb530d048c0a49dc30845a,224-222@5xc-jw2-t9z,2018-12-04,2018-12-12
lMkmAQAAMAAJ,671b6727608dc5b7d485ba556df44902,zzw-222@5xc-knn-c5z,2018-11-27,2018-12-22
IhgDAAAAYAAJ,e46635382c0b87f11836c9035a799661,226-222@5xc-jxj-7yv,2018-01-21,2018-02-11
Llg9AQAAMAAJ,d3163e3e3c754635a351788957b6daf4,zzw-222@5xc-knn-c5z,2018-07-03,2018-07-15
uW1BAQAAMAAJ,fac6d35e6526dbb1d31fdb68aec35449,22c-222@5xc-jwj-pvz,2018-08-30,2018-09-23
__RYAAAAYAAJ,aac9f029234f06c600a7b957fc289a45,222-222@5xc-jxp-rp9,2018-03-23,2018-04-17
bbbFl0dt6WIC,5cd81adc729910251df8056b659edf25,223-222@5xc-jxr-tgk,2018-12-12,2018-12-20
VL0QGySiaDMC,03be77fe942bb023446a07ab68d54e33,zzw-224@5xc-jwv-2rk,2018-06-02,2018-02-12
oFWsXm1zZCcC,4f024d254b404b552d0905ab280fb281,222-222@5xc-jv5-nt9,2018-01-14,2018-01-29
79QDAAAAMBAJ,fe65649b5c9ead5c82359d296355bc07,222-222@5xc-kkw-bzf,2018-11-22,
uelfAwAAQBAJ,904274631f36420b5f720c076d3935b6,22c-222@5xc-jwj-pvz,2018-07-29,2018-08-13
K5SYITH0vRIC,389feb6f1ef03b7c0687901aefa6da95,zzw-222@5xc-knn-c5z,2018-03-23,2018-04-06
jPs8AAAAYAAJ,49f8498adaade1796907b5890e8c2307,228-222@5xc-jtz-hwk,2018-03-09,2018-03-25
2hoDAAAAQAAJ,e661e0df13f5f084604a6ddfa8c5cb66,222-222@5xc-jxp-rp9,2018-03-16,2018-04-12
hCVACwAAQBAJ,2cbad9d47e36612df6cf8d437c28af30,226-222@5xc-jxj-7yv,2018-10-26,2018-11-18
xSYmAQAAIAAJ,7d722b44e022954aa30d9e302b53c31a,228-222@5xc-jtz-hwk,2113-07-17,2018-10-07
1_1OtAEACAAJ,97bbc87fa328301580a69842fb285ed7,zzw-222@5xc-jv4-789,2018-08-09,2018-08-15
nxbe7rKy5kkC,60fad0e50111779ebf01eb1d7830f89a,226-222@5xc-jxj-7yv,2018-04-08,2018-04-28
km9L2JfyOKAC,44fa7a034e4628d0992ae39a643ce7fe,222-222@5xc-kkw-bzf,%2018/11/24,2018-12-16
IwsVEAAAQBAJ,fc46b3715f4ac3520425475485853bdf,zzw-224@5xc-jwv-2rk,2107-07-15,2018-04-20
WXssAAAAYAAJ,077af1a657c88e5ab8ac0cadfa64b3a0,zzw-224@5xc-jwv-2rk,2018-10-16,2019-04-08
mR9eAgAAQBAJ,ebbe7d143784aa3e08a6530245355f10,223-222@5xc-jxr-tgk,2018-02-24,2018-03-13
p2C0y3hbe5EC,58ecc520415bb1680a2aab008133b4c9,zzw-223@5xc-jv7-ct9,2105-07-22,2018-12-04
bbbFl0dt6WIC,643ce33d53b509743288b1985492ecbe,228-222@5xc-jtz-hwk,2018-03-29,2018-04-18
9HOEMS9ffGgC,2b9d82891eb96cf0584641f5911f0d9d,23v-222@5xc-jv7-v4v,2018-04-28,1800-12-07
PvxOPgAACAAJ,5b54076ff51088b8ce4f2c3692b79d66,zzw-222@5xc-jv4-789,2018-09-09,
gTygAAAAMAAJ,63bcfc17d099058dfb94cab781e6fc22,224-222@5xc-jw2-t9z,2018-08-23,2018-08-29
1Gc_SPKCZY8C,3ce54e05e256ac46f39850705766a4b4,227-222@5xc-jww-btv,2018-07-10,2018-07-16
vZE-DwAAQBAJ,930f6b644fc44ef16e52f8ca405a24a9,22d-222@5xc-kcy-8sq,2018-09-07,2018-09-22
I50-AQAAMAAJ,4a973a5361427c4bb6d298ead0cf8196,222-222@5xc-jvf-skf,2018-01-11,2018-02-07
PNjmAAAAMAAJ,251926625070cc0d3e1d5cdafc333f45,zzw-222@5xc-knn-c5z,2018-10-30,2018-11-05
L59IEDpeVDEC,60606fc1c4d345c6718c01e86a509ac4,223-222@5xc-jxr-tgk,2018-03-24,2018-04-13
BTCUDwAAQBAJ,c7911b700f89d1ec3632d1199847e258,225-222@5xc-jtz-hkf,2018-06-12,1807-12-14
p2C0y3hbe5EC,b65549b771f91db8a273503d440f1b0d,222-222@5xc-jxp-rp9,2018-12-18,2019-01-06
xSYmAQAAIAAJ,f2abb5629531b5525426e6a5a553263b,23v-222@5xc-jv7-v4v,2018-11-22,2018-11-13
f3SnKTZT_WMC,5c6b9cf78db88dacd42804cc381ead8f,222-222@5xc-jv5-nt9,2018-12-12,2018-12-23
n88DAAAAMBAJ,7bcc2d37b575bfe04a663b753fb48cdb,228-222@5xc-jtz-hwk,2018-02-27,1819-10-17
